client_name,grant_title,grant_source,program_name,application_date,result,country,applicant_type,topics,project_summary,reusable_materials,similarity_weight,notes,source_documents,confidence
10guards,"Horizon-style cybersecurity consortium calls","EU / Horizon Europe",Cybersecurity consortium grants,,not_submitted,EU/Ukraine,company/SME,"cybersecurity; AI-driven security testing; automated penetration testing; compliance automation; consortium","Potential consortium projects around automated penetration testing, AI-assisted security testing and regulatory/compliance automation. Expected budgets discussed around EUR 3-4M with deadlines around 15 September for some calls.","Consortium/work-package strategy; cybersecurity product concept; partner search notes; cofinancing notes",1.0,"Need at least two EU partners and preferably nonprofit/university coordinator. Treat as high-value but partner-dependent opportunity.","grant/initial_grants/10guards/Oh-My-Grant-x-10guards-3eb5b625-da75.docx",medium
IS Academy,"TRL 4 to TRL 7 technology development grant","EU / technology development call",DeepTech/EdTech R&D grant,,lost,EU/Ukraine,startup/company,"EdTech; AI; psychometrics; game-based assessment; TRL 4 to TRL 7","Application/project was considered technically strong and realistic, with feedback around score near 12-14 and a need to keep submitting systematically because budget/competition limited funding.","Previous application logic; feedback analysis; technology positioning; KPI/work-package questions",1.2,"Use as positive history signal despite lost/not funded result. The result should not reduce fit score.","grant/initial_grants/IS Academy/IS-Academy-Oh-My-Grant-219b8275-a22d.docx|grant/initial_grants/IS Academy/З Q&A міту.docx",medium
IS Academy,FFplus,FFplus / Fortissimo Plus,Innovation studies / HPC,,not_submitted,EU/Ukraine,startup/company,"AI; HPC; education; model fine-tuning; psychometrics","Discussed as a possible future grant direction during monitoring. Suitability depends on whether a credible HPC/AI experiment can be framed from the education/assessment product.","Monitoring notes; technical Q&A; possible AI/HPC framing",0.7,"Potential match only if project can justify HPC beyond normal AI usage.","grant/initial_grants/IS Academy/IS-Academy-Oh-My-Grant-219b8275-a22d.docx",low
Intelswift,"Women-led / DeepTech grant up to EUR 500k","Unspecified grant in working notes",DeepTech AI startup grant,,not_submitted,Ukraine/Europe,company,"AI; Voice AI; helpdesk automation; marketplace; women-led; TRL 4 to TRL 7","Assessment notes say Intelswift is a strong candidate if the proposal focuses on a new R&D module such as next-generation Voice AI rather than the whole mature platform.","Evaluation memo; Q&A questions; KPI and work-package prompts",1.1,"Strong relevance, but scope must avoid TRL mismatch. Result is inferred as planned/not submitted from available docs.","grant/initial_grants/Intelswift/Питання на міт.docx|grant/initial_grants/Intelswift/Питання для доопрацювання.docx",medium
Intelswift,FFplus Open Call 2,FFplus / Fortissimo Plus,Innovation Studies,,not_submitted,EU,SME,"HPC; generative AI; Voice AI; banking security; deepfake detection; multilingual models; SLM; acoustic model","Concept EuroGuard-HPC: train/fine-tune a specialized multilingual foundation/acoustic model for real-time voice security in banking using EuroHPC resources.","Full concept note; model architecture ideas; metrics; budget and work-plan sketch",1.3,"Very reusable for future HPC/AI calls. Treat as concept, not confirmed submitted.","grant/initial_grants/Intelswift/Концепти.docx",high
Intelswift,Foresight Institute grant,Foresight Institute,AI Safety / Private AI,,not_submitted,Global/US,for-profit company,"AI safety; private AI; voice agents; agentic AI security; open source; confidential compute","Potential refocus from customer support to AI safety: privacy-preserving voice AI, agentic security protocols, prompt-injection resistance or open-source safety component.","AI safety positioning; possible open-source module; funding ask ideas",1.0,"Could be relevant if framed as high-risk R&D or open-source research, not as commercial customer-support tooling.","grant/initial_grants/Intelswift/Концепти.docx|grant/initial_grants/Intelswift/Питання для доопрацювання.docx",medium
Versi Bionics,"Prior DeepTech grant application","EU / DeepTech competition",DeepTech MedTech grant,,lost,EU/Ukraine,startup/company,"MedTech; prosthetics; AI architecture; sensor fusion; EU market; IP","Prior application received around 11.5/15, with strengths in novelty, user value and technical team, but feedback requested clearer AI architecture, multimodal signal fusion, risk matrix, EU medical-device route and IP strategy.","Evaluator feedback; technical improvement list; market/IP risk notes",1.4,"Very important positive history signal. Lost/not funded result should not penalize future matching.","grant/initial_grants/Versi Bionics/Versi-Bionics-Oh-My-Grant-d6575765-b39f.docx",high
Versi Bionics,ESF Seed / SID,Ukraine / seed grant,Seed grant,,not_submitted,Ukraine,startup/company,"seed funding; DeepTech; MedTech; prosthetics; manufacturing; market readiness","Planned application for EUR 40k seed funding with functioning product, user/revenue angle and integration of stronger DeepTech component.","Budget notes; seed grant strategy; Ukrainian-language documentation requirements; pitch/video requirements",1.2,"Good fit for near-term local funding. Needs Ukrainian documents, videos, budget and team materials.","grant/initial_grants/Versi Bionics/Versi-X-OMG-374fbc50-1e2f.docx|grant/initial_grants/Versi Bionics/Versi-Bionics-x-OMG-USF-f73fa1b9-6e0e.docx",high
Versi Bionics,AAC accelerator,AAC accelerator,Accelerator,,not_submitted,EU/Ukraine,startup/company,"MedTech; prosthetics; patent; traction; accelerator","Considered but deferred because full patent and traction/certification readiness were insufficient, making chances low at the time.","Decision rationale; requirements notes",0.6,"Useful negative/deferral context for manual review, but not a negative fit signal for other grants.","grant/initial_grants/Versi Bionics/Versi-X-OMG-374fbc50-1e2f.docx",medium
Versi Bionics,EIT Health / consortium grants,EIT Health / EU,Health consortium grants,,not_submitted,EU,startup/company,"MedTech; prosthetics; health; consortium; EU partners","Discussed as future consortium direction requiring at least three organizations from different countries and stronger partner strategy.","Consortium notes; partner strategy",0.9,"Potential match after consortium partners are identified.","grant/initial_grants/Versi Bionics/Versi-X-OMG-374fbc50-1e2f.docx",medium
Vignette ID,FFplus Open Call 2,FFplus / Fortissimo Plus,Innovation Studies,,not_submitted,EU,SME,"HPC; AI; multilingual legal document processing; mobility; NLU; legal fines","Concept AI Fine Resolution Engine: custom AI/NLU model for automated multilingual legal/toll fine document processing in mobility, using HPC for model customization.","Concise concept note; problem/solution/impact framing",1.3,"Strong reusable concept for HPC/AI calls. Needs validation of dataset, privacy and model plan.","grant/initial_grants/Vignette ID/Ffplus for VignetteID.docx",high
Vignette ID,Glovo Startup Lab 4.0,Glovo,Startup Lab / accelerator,,unknown,EU/Ukraine,startup/company,"mobility; logistics; HaaS; EU expansion; operations; marketplace scaling","Application-form style material for Glovo Startup Lab focused on mentorship, Tech Campus Barcelona, EU logistics scaling and B2B/B2C tolling operations.","Structured application answers; product description; traction; website; business model",1.0,"Looks close to a completed application form, but result is not present in files.","grant/initial_grants/Vignette ID/GLOVO Startup Lab 4.0_.docx",high
